bant_submit,business_unit,customer_idx,customer_type,enterprise,historical_existing_cnt,customer_job,lead_desc_length,inquiry_type,product_category,product_subcategory,product_modelname,customer_position,response_corporate,expected_timeline,business_area,business_subarea,lead_owner,is_converted
1.0,AS,32160,End-Customer,Enterprise,,purchasing,62,Quotation or purchase consultation,multi-split,,,entry level,LGEPH,less than 3 months,corporate / office,Engineering,0,True
1.0,AS,23122,End-Customer,Enterprise,12.0,media and communication,96,Quotation or purchase consultation,multi-split,,,ceo/founder,LGEPH,less than 3 months,corporate / office,Advertising,1,True
1.0,AS,1755,End-Customer,Enterprise,144.0,engineering,56,Product Information,single-split,,,partner,LGEIL,less than 3 months,corporate / office,Construction,2,True
1.0,AS,4919,End-Customer,Enterprise,,entrepreneurship,44,Quotation or purchase consultation,vrf,,,ceo/founder,LGEIL,less than 3 months,corporate / office,IT/Software,3,True
1.0,AS,17126,Specifier/ Influencer,Enterprise,,consulting,97,Quotation or purchase consultation,multi-split,,,partner,LGEIL,less than 3 months,corporate / office,,4,True
1.0,AS,16328,End-Customer,SMB,,program and project management,1114,Quotation or purchase consultation,chiller,,,manager,LGEAF,less than 3 months,corporate / office,Engineering,5,True
0.75,AS,20664,End-Customer,SMB,,engineering,420,Quotation or purchase consultation,single-split,,,manager,LGESJ,,corporate / office,Engineering,6,True
1.0,AS,17983,End-Customer,SMB,,sales,205,Quotation or purchase consultation,vrf,,,partner,LGEIL,less than 3 months,corporate / office,Manufacturing,7,True
0.75,AS,30867,Specifier/ Influencer,Enterprise,3.0,other,103,Quotation or purchase consultation,multi-split,,,vice president,LGEPH,less than 3 months,corporate / office,Construction,8,True
0.75,AS,6084,End-Customer,SMB,,other,252,Quotation or purchase consultation,vrf,,,manager,LGEIL,3 months ~ 6 months,corporate / office,,9,True
0.75,AS,15379,End-Customer,Enterprise,,engineering,90,Quotation or purchase consultation,vrf,,,associate/analyst,LGEIL,less than 3 months,corporate / office,Manufacturing,10,True
0.75,AS,31561,End-Customer,SMB,23.0,operations,84,Quotation or purchase consultation,etc.,,,c-level executive,LGEIL,3 months ~ 6 months,corporate / office,IT/Software,11,True
0.75,AS,37134,Service Partner,Enterprise,,entrepreneurship,67,Quotation or purchase consultation,vrf,,,partner,LGEIL,less than 3 months,corporate / office,Energy,3,True
0.5,AS,30294,End-Customer,SMB,,purchasing,210,Quotation or purchase consultation,vrf,,,associate/analyst,LGEAF,,corporate / office,Construction,12,True
0.25,AS,16481,End-Customer,Enterprise,,,46,Quotation or purchase consultation,multi-split,,,none,LGEAF,,corporate / office,Construction,12,True
0.75,AS,22897,Specifier/ Influencer,SMB,,engineering,166,Quotation or purchase consultation,chiller,,,associate/analyst,LGESJ,less than 3 months,corporate / office,,13,True
