idx,bant_submit,business_unit,customer_idx,customer_type,enterprise,historical_existing_cnt,customer_job,lead_desc_length,inquiry_type,product_category,product_subcategory,product_modelname,customer_position,response_corporate,expected_timeline,business_area,business_subarea,lead_owner,is_converted
52399,0.25,IT,14746,Solution Eco-Partner,SMB,,,28,Quotation or Purchase Consultation,,,,none,LGEUS,,,,375,True
35988,1.0,AS,13340,Channel Partner,Enterprise,,engineering,64,Product Information,chiller,,,ceo/founder,LGECB,3 months ~ 6 months,,,657,False
23576,0.75,ID,26496,Channel Partner,SMB,,engineering,199,Quotation or Purchase Consultation,interactive signage,TR3DJ Series,75TR3DJ,partner,LGELF,less than 3 months,education,K12 Kindergarten & Schools,555,False
21919,1.0,ID,33061,End-Customer,Enterprise,,business development,34,Quotation or purchase consultation,video wall signage,"55"" 500 nits FHD 0.44mm Even Bezel Video Wall",55VSM5J,partner,LGEUK,6 months ~ 9 months,special purpose,Mixed-use (Multi Complex),185,False
34842,0.5,ID,38448,End-Customer,Enterprise,,,3,Quotation or purchase consultation,,,,none,LGEUS,more than a year,,,194,False
52140,0.25,IT,14677,Specifier/ Influencer,SMB,,,3,Quotation or Purchase Consultation,,,,none,LGEUS,,,,435,False
45767,1.0,AS,46958,Specifier/ Influencer,SMB,1.0,consulting,3,Quotation or Purchase Consultation,vrf,,,ceo/founder,LGEHS,more than a year,,,716,False
21538,0.25,IT,45837,End Customer,SMB,,,23,Quotation or Purchase Consultation,,,,none,LGEUS,,,,831,False
19861,0.25,AS,47466,End Customer,Enterprise,3.0,,43,Quotation or Purchase Consultation,single-split,,,none,LGEGF,,,,78,False
25028,1.0,ID,44254,End-Customer,Enterprise,,military and protective services,198,Quotation or purchase consultation,interactive signage,,,other,LGEUK,less than 3 months,government department,Military,185,False
23915,0.75,IT,39990,End Customer,SMB,,administrative,101,Quotation or Purchase Consultation,medical- surgical,,ALL Surgical,associate/analyst,LGEUS,less than 3 months,hospital & health care,Hospital,832,True
19772,0.25,AS,27873,Specifier/ Influencer,Enterprise,,consulting,42,Quotation or Purchase Consultation,,,,none,LGEIL,,,,672,False
23879,0.75,IT,34116,End-Customer,Enterprise,,radiology professional,22,Usage or Technical Consultation,medical display,Diagnostic Monitors,,associate/analyst,LGEIL,less than 3 months,hospital & health care,Others,404,False
12954,0.75,ID,38941,End Customer,SMB,4.0,arts and design,120,Quotation or Purchase Consultation,video wall signage,"55"" 500 nits FHD Slim Bezel Video Wall",55VM5J-H,manager,LGEUK,3 months ~ 6 months,,,185,False
30215,0.75,ID,2426,End-Customer,SMB,,engineering,73,Quotation or Purchase Consultation,video wall signage,"49"" 500 nits FHD Slim Bezel Video Wall",49VL5G,associate/analyst,LGESP,3 months ~ 6 months,corporate / office,Others,167,True
42063,0.25,AS,47466,End-Customer,Enterprise,105.0,,60,Quotation or purchase consultation,rac,,,none,LGEPL,,,,694,False
59132,1.0,ID,31597,Solution Eco-Partner,Enterprise,,marketing,45,Quotation or Purchase Consultation,led signage,,,director,LGEMS,less than 3 months,public facility,Outdoor Advertisement,286,False
41666,0.25,AS,47466,End-Customer,Enterprise,3.0,,22,Quotation or purchase consultation,single-split,,,none,LGEGF,,,,25,False
46190,0.25,AS,47466,End Customer,Enterprise,16.0,,180,Quotation or Purchase Consultation,multi-split,,,none,LGESP,,,,97,False
5719,0.75,ID,45382,Specifier/ Influencer,SMB,,producer/project manager,339,Quotation or purchase consultation,,,,none,LGEUS,6 months ~ 9 months,,,194,False
53074,1.0,AS,572,End-Customer,SMB,,business development,224,Quotation or purchase consultation,rac,,,manager,LGESP,more than a year,special purpose,Others,38,False
58894,0.75,ID,1461,End-Customer,SMB,,administrative,138,Quotation or Purchase Consultation,led signage,,,director,LGECB,,transportation,Airport / Airfield / Helipad,233,False
54895,0.25,IT,7643,End Customer,Enterprise,,,35,Quotation or Purchase Consultation,,,,none,LGEUS,,hospital & health care,Others,589,False
52339,0.25,IT,22755,End Customer,SMB,,,28,Quotation or Purchase Consultation,,,,none,LGEUS,,,,436,False
46152,0.25,AS,47466,End Customer,Enterprise,16.0,,254,Quotation or Purchase Consultation,multi-split,,,none,LGESP,,,,97,False
19646,0.25,AS,47466,End Customer,Enterprise,19.0,,27,Quotation or Purchase Consultation,etc.,,,none,LGEIL,,,,115,False
30951,0.75,ID,43143,End-Customer,SMB,,administrative,155,Quotation or Purchase Consultation,video wall signage,,,other,LGECB,less than 3 months,corporate / office,Others,187,False
22747,1.0,ID,17864,Channel Partner,Enterprise,,education,245,Request for Partnership,interactive signage,TR3BG Series,55TR3BG,associate/analyst,LGEIL,less than 3 months,education,K12 Kindergarten & Schools,277,False
21266,0.25,IT,963,End Customer,Enterprise,0.0,,29,Quotation or Purchase Consultation,,,,none,LGEUS,,,,374,False
56118,1.0,ID,43213,End Customer,SMB,1.0,information technology,790,Quotation or Purchase Consultation,video wall signage,,,entry level,LGESP,less than 3 months,government department,Others,342,True
28500,1.0,ID,18942,End-Customer,SMB,,engineering,165,Other,oled signage,Transparent OLED Signage,55EW5F-A,other,LGEIL,3 months ~ 6 months,factory,Manufacturing Factory / Plant,174,False
54252,1.0,AS,12685,Specifier/ Influencer,SMB,,consulting,99,Product Information,etc.,,,manager,LGECL,more than a year,hospital & health care,General Hospital,124,False
34736,0.5,ID,6456,Channel Partner,Enterprise,,,3,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,194,False
21152,0.5,IT,14647,End-Customer,SMB,,,128,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,205,False
29929,1.0,AS,1909,Specifier/ Influencer,Enterprise,,operations,18,Product Information,vrf,,,entry level,LGEPR,more than a year,corporate / office,Others,125,False
